incident_type,location,date,time,summary,disposition,interesting,month_year
Citizen Assist,Applied Physics and Mathematics,11/7/24,4:46 PM,Request for help with retrieving phone stuck in desk,Cancelled Before Dispatch,f,Nov-24
Assist Other Agency,Trolley - Central Campus Station,11/7/24,6:24 PM,Request for officer to evaluate jurisdiction,Logged Event,f,Nov-24
Report of Petty Theft,Trolley - Central Campus Station,11/7/24,7:00 PM - 8:00 PM,Caller reporting their wallet was possibly stolen,Report Taken,f,Nov-24
Information,Campus Emergency Services Building,11/7/24,7:54 PM,Caller stating they have not received their forms,Information Only,t,Nov-24
Noise Disturbance,Mesa Verde Hall,11/7/24,7:57 PM,Report of event with loud music and thousands in attendance,Unable to Locate,f,Nov-24
Welfare Check,Catalyst,11/7/24,9:04 PM,Welfare check on subject having suicidal ideations,Report Taken,f,Nov-24
Information,Piedra,11/7/24,9:38 PM,Subject having shortness of breath and trouble breathing after smoking,Information Only,f,Nov-24
Citizen Contact,Cala,11/7/24,10:03 PM,Advised subjects of pool closure,Checks OK,f,Nov-24
Noise Disturbance,Catalyst,11/7/24,11:35 PM,Students being loud at the 4th floor common area,Will Cooperate,f,Nov-24
Petty Theft - Micro Mobility Device,Pepper Canyon Hall,11/7/24,11:00 AM - 12:30 PM,"Secured, electric scooter was stolen, loss of $350",Report Taken,f,Nov-24
Campus Security Authority Report (CSA),UCSD Campus,11/7/24,5:20 PM - 5:20 PM,Clery - Stalking,CSA Report Filed,f,Nov-24
Excessive Alcohol/Over-Intoxication - Residential,Survivance,1/20/25,12:09 AM,Non-affiliate guest of resident acting erratically after consuming an unknown amount of mushrooms,Report Taken,f,Jan-25
Noise Disturbance,Blacks Apartments,1/20/25,12:31 AM,Stomping and yelling,Quiet On Arrival,f,Jan-25
Suspicious Vehicle,The Market At Seventh College,1/20/25,2:53 AM,"Suspicious vehicle parked in a temporary spot, occupied by 2",Checks Ok,f,Jan-25
Grand Theft - Micro Mobility Device / Suspicious Circumstances/ Stay Away Order Issuance,Argo Hall,1/20/25,04:00 AM - 04:52 AM,"Report of male suspect using a buzz saw at bike rack, upon contact officers subject was found in possession of another persons credit card and an electric scooter, later reported as stolen",Closed By Other Means,t,Jan-25
Injury,Birch Aquarium,1/20/25,11:58 AM,Toddler hit head on floor after falling,Referred to Other Agency,f,Jan-25
Vehicle Disturbance,Revelle Plaza On Ridge Walk,1/20/25,1:04 PM,2 males racing electric bikes in the area,Information Only,f,Jan-25
Suspicious Circumstances,Blake Hall,1/20/25,1:23 PM,"Reporting party heard males outside yelling ""put the gun down,"" ""put it in the bush,"" talked about recording and left in unknown direction on electric bikes",Information Only,t,Jan-25
Petty Theft,Mandeville Center,1/20/25,08:30 AM - 11:30 AM,"Unknown suspect(s) took for cash from victim's unattended purse, loss $200.00",Report Taken,t,Jan-25
Grand Theft- Micro Mobility Device,The Trove - PC West,1/20/25,3:30 PM - 5:40 PM,"Secured electric scooter stolen, loss $300.00",Report Taken,f,Jan-25
Grand Theft,Trolley- Central Campus Station,1/20/25,1:05 PM - 7:05 PM,"Secured bicycle stolen, loss $1,000.00",Report Taken,f,Jan-25
Petty Theft,Charles Keeling Apartments,1/20/25,9:36 PM,"Caller reporting stolen bicycle, will call back later to make report, loss amount unknown",Service Provided,t,Jan-25
Suspicious Person,Hopkins Drive,1/20/25,9:41 PM,Male carrying a backpack and multiple bags ran into woods,Unable To Locate,t,Jan-25
Injury,Rimac On Hopkins Lane,1/20/25,10:17 PM,Young adult male with dislocated shoulder,Referred to Other Agency,f,Jan-25
Medical Aid,Piedra On Miramar Street,1/20/25,10:33 PM,Adult female having slight difficulty breathing,Referred to Other Agency,f,Jan-25
Noise Disturbance,Black Apartments,1/20/25,11:09 PM,Loud talking and stomping,Quiet On Arrival,f,Jan-25
Verbal Threats,UCSD Hillcrest Hospital,1/20/25,2:57 AM,"Adult female interfering with hospital operations, made verbal threats to harm self or others",Referred to Other Agency,t,Jan-25
Noise Disturbance,Atlas Courtyard,1/21/25,12:24 AM,Group being loud in courtyard,Will Cooperate,f,Jan-25
Citizen Contact,Rya,1/21/25,12:28 AM,Request to speak with officer regarding aggressive roommate,Service Provided,f,Jan-25
Noise Disturbance,Rita Atkinson,1/21/25,12:35 AM,Loud bed/mattress spring,Quiet on Arrival,f,Jan-25
Found Property,Capa,1/21/25,1:06 AM,Unattended suitcase,Checks OK,f,Jan-25
Noise Disturbance,Pulse,1/21/25,1:51 AM,Group making noise while playing basketball,Quiet on Arrival,f,Jan-25
Medical Aid,Artesa,1/21/25,2:42 AM,"Child with high fever, requesting ambulance",Disposition Referred to Other Agency,f,Jan-25
Welfare Check,Gilman Drive/La Jolla Village Drive Ramp,1/21/25,7:38 AM,"Subject in vehicle, slumped over steering wheel",Unable to Locate,f,Jan-25
Welfare Check,Regents Road/Health Sciences Drive,1/21/25,9:15 AM,Subject seen sitting on corner with head down,Checks OK,t,Jan-25
Disturbance,Price Center East - Burger King,1/21/25,2:13 PM,Adult male making racial comments and filming reporting party,Field Interview,t,Jan-25
Citizen Assist,Center for Novel Therapeutics,1/21/25,3:13 PM,Reporting party's truck stuck on rock,Information Only,f,Jan-25
Petty Theft,Otterson Hall,1/21/25,10:50 AM - 12:00 PM,Stolen wallet recovered without money; loss of $340.00,Report Taken,f,Jan-25
Medical Aid,Keeneland Row,11/8/24,2:33 AM,Complaint of severe stomach pain,Referred to Other Agency,f,Nov-24
Suspicious Person,Villa La Jolla Drive,11/8/24,8:13 AM,"Employee yelled at my male, while picking up trash",Field Interview,f,Nov-24
Found Property,Library Walk,11/8/24,9:04 AM,Kitchen knife on ground across from The Trove,Service Provided,f,Nov-24
Information,UCSD Police Department,11/8/24,9:05 AM,Caller requesting to speak to officer about UCSD research,Information Only,f,Nov-24
Suspicious Person,Ledden Auditorium,11/8/24,11:15 AM,"Reporting party(RP) advised a male never seen before came into class, RP felt it was odd behavior",Information Only,t,Nov-24
Property Damage,Hubbs Hall,11/8/24,2:45 PM - 6:00 PM,Damage to UC vehicle by unknown means,Report Taken,f,Nov-24
Welfare Check,Villa La Jolla Drive,11/8/24,11:52 AM,Male laying on sidewalk,Field Interview,f,Nov-24
Property Damage,Trolley - Central Campus Station,11/8/24,12:00 PM - 12:05 PM,"UC golf cart hit raised concreate sewer manhole, causing damage to cart",Report Taken,f,Nov-24
Violation of Parole Arrest/ Stay Away Order Issuance,Design & Innovation Building,11/8/24,12:14 PM,Subject contacted following a report of a male attempting to take a bicycle,Closed By Adult Arrest,t,Nov-24
Vandalism,Gilman Drive/Genesee Avenue,11/8/24,Unknown,"Graffiti on retaining wall, cost of damage $25.00",Report Taken,f,Nov-24
Vehicle Burglary,Parking Lot P752,11/8/24,11:08 AM - 1:42 PM,"Victim's tools and skateboard stolen from secured vehicle, loss $300.00",Report Taken,f,Nov-24
Hazard Situation,Structural & Material Engineering Building,11/8/24,2:07 PM,Nitrogen tank leaking on 2nd floor patio,Referred to Other UCSD Department,f,Nov-24
Medical Aid,Rebecca and John Moores Cancer Center,11/8/24,2:59 PM,Patient transport to emergency room,Referred to Other Agency,f,Nov-24
Welfare Check,Trolley - Central Campus Station,11/8/24,3:00 PM,"Male yelling profanities, possibly having mental health episode",Checks OK,f,Nov-24
Grand Theft - Micro Mobility Device,La Jolla Village Drive,11/8/24,3:28 AM - 2:32 PM,"18 Spin scooters stolen, loss $16,200.00",Report Taken,f,Nov-24
Vandalism,TDLLN - Pulse,11/8/24,4:07 PM,6 males skateboarding and damaging planters,Field Interview,f,Nov-24
Medical Aid,Rebecca and John Moores Cancer Center,11/8/24,4:11 PM,Patient transport to emergency room,Referred to Other Agency,f,Nov-24
Welfare Check,Jacobs Medical Center,11/8/24,9:02 PM,"Patient at hospital stating he is scared to leave room, believes hospital staff is out to get him",Referred to Other UCSD Department,t,Nov-24
Noise Disturbance,Artesa,11/8/24,10:46 PM,3 people playing ping pong,Will Cooperate,f,Nov-24
Welfare Check,Main Gymnasium,11/8/24,11:05 PM,Person locked inside restroom,Checks OK,t,Nov-24
Verbal Threats,UCSD Medical Center - East Campus,11/8/24,11:10 PM,"Patient shouted ""shoot her"" while bed pan was being changed",Hospital Incident Report Generated,f,Nov-24
Assault,UCSD Medical Center - Hillcrest,11/8/24,11:10 AM,Security responded to patient disturbance,Hospital Incident Report Generated,f,Nov-24
Theft,Jacobs Medical Center,11/8/24,3:16 PM,Patient reported multiple items lost or stolen,Hospital Incident Report Generated,f,Nov-24
Disturbance - Party,Viento on Miramar Street,11/9/24,12:15 AM,Loud music,Referred to Student Conduct,f,Nov-24
Welfare Check,Pepper Canyon Apartments,11/9/24,12:23 AM,Reports of an unknown subject in area who seems intoxicated,Gone on Arrival,t,Nov-24
Party Disturbance,Latin America Hall,11/9/24,12:53 AM,"Reports of people jumping, laughing, and being loud on the 3rd floor",Referred to Student Conduct,f,Nov-24
Noise Disturbance,Tapestry on Scholars,11/9/24,1:47 AM,Reports of people playing at the ping pong tables and bouncing a basketball,Quiet on Arrival,f,Nov-24
Information/ Found Property Report,Oceanview Terrace,11/9/24,Unknown,Cooperative subject knocked down fire exit sign off of ceiling,Report Taken,f,Nov-24
Welfare Check,Trolley - La Jolla Health Station,11/9/24,Unknown,Report of a male subject at location having ideations of harming themselves,Disposition Report Taken,t,Nov-24
Party Disturbance,One Miramar Street,11/9/24,2:43 AM,Reports of loud music coming from location,Referred to Student Conduct,f,Nov-24
Mental Health Detention,UCSD Residential Area,11/9/24,9:48 AM,Report of a subject with ideations of harming themselves,Transported to Hospital,t,Nov-24
Disturbance,Interstate 5,11/9/24,9:51 AM,Male subject walking naked on freeway,Referred to Other Agency,f,Nov-24
Medical Aid,Robinson Building 2,11/9/24,Unknown,Report of a women who possibly hit her head; conscious and breathing,Report Taken,t,Nov-24
Disturbance,UC San Diego Health Urgent Care,11/9/24,12:06 PM,Request for mental health evaluation of patient,Checks OK,f,Nov-24
Missing Person,Mesa Apartments - South,11/9/24,1:19 PM,"Child with special needs ran off, parent unable to locate",Checks OK,f,Nov-24
Vandalism,Bonner Hall,11/9/24,Unknown,Unknown suspect used a marker or paint to vandalize the inside of an elevator; Estimated repair $400,Report Taken,t,Nov-24
Petty Theft,La Jolla Del Sol Apartments,11/9/24,Unknown,Victim's property stolen from inside their unsecured vehicle; loss $350.00,Report Taken,f,Nov-24
Welfare Check,Seventh College,11/9/24,4:21 PM,Parent unable to get ahold of student for past couble of days,Service Provided,f,Nov-24
Welfare Check,Trolley - La Jolla Health Station,11/9/24,4:24 PM,Request for welfare check of male at location,Service Provided,f,Nov-24
Information,Foodworx on Innovation Lane,11/9/24,6:33 PM,Odor of natural gas coming from area,Information Only,f,Nov-24
Welfare Check,La Jolla Family House,11/9/24,7:33 PM,Report of a patient that was discharged with an IV in his arm and is refusing to go back to have it removed,Referred to Other Agency,t,Nov-24
Chemical Spill,Rimac,11/9/24,8:22 PM,Reports of an odor in the basketball gym,Checks OK,f,Nov-24
Medical Aid,Holiday Court,11/9/24,11:44 PM,Request for paramedics,Referred to Other Agency,f,Nov-24
Property Damage,Parking Lot P418,11/10/24,Unknown,"Damage to stop sign by unknown means, cost of damage $300.00",Report Taken,f,Nov-24
Petty Theft Report -Micro Mobility Device,Beagle Hall,11/10/24,3:00 PM - 2:00 PM,"Secured electric scooter and cable lock stolen, loss $265.49",Report Taken,f,Nov-24
Lost Property,Downtown San Diego,11/10/24,12:12 PM,Report of lost foreign passport,Disposition Information Only,f,Nov-24
Suspicious Person,Target- PC West,11/10/24,5:33 PM,Subject seen casing the store,Information Only,f,Nov-24
Medical Aid,Trolley-Central Campus Station,11/10/24,6:47 PM,Request for paramedics,Referred to Other Agency,f,Nov-24
Medical Aid,South Pacific Street,11/10/24,8:24 PM,Request for paramedics,Referred to Other Agency,f,Nov-24
Suspicious Person,Tamarack Ave,11/10/24,9:03 PM,Bonfire with underage drinking,Referred to Other Agency,t,Nov-24
Illegal Parking,SIO,11/10/24,9:45 PM,Multiple vehicles blocking the roadway and parked by fire hydrants,Checks Ok,f,Nov-24
UC Policy Violation,Thurgood Marshall Residence Hall,11/10/24,10:28 PM,Reports of smoking in the area,Unable To Locate,f,Nov-24
Suspicious Vehicle,Visual Arts Facility,11/10/24,10:36 PM,"Per University Safety Official, unattended vehicle in area",Information Only,f,Nov-24
Marijuana Contact,Tapestry,11/10/24,10:54 PM,Complaint regarding odor of marijuana,Unfounded,f,Nov-24
Drunk In Public / False Identification,Seventh College East,11/10/24,11:20 PM,Intoxicated male unable to care for self or other and found in possession of counterfeit government-issued documents,Closed By Adult Arrest,t,Nov-24
Assist Other Agency,UCSD Hillcrest Hospital,11/11/24,12:55 AM,Caller waiting for SDPD asking if UCSD PD can come instead,Information Only,f,Nov-24
Quiet Hours Contact,Muir Tennis Courts,11/11/24,1:24 AM,Contact for excessive noise during quiet hours,Will Cooperate,f,Nov-24
Citizen Assist,Porton,11/11/24,3:50 AM,Request for assistance locating partner,Information Only,f,Nov-24
Noise Disturbance,Pulse,11/11/24,4:05 AM,People playing basketball at the basketball courts,Will Cooperate,f,Nov-24
Welfare Check,Marea,11/11/24,4:23 AM,Student called home and advised she was not feeling well and is now not answering phone,Checks OK,t,Nov-24
Vandalism,Stein Clinical Research Building,11/11/24,Unknown,"Unknown suspect(s) damaged try wall into electrical room and appeared to be illegally lodging inside, cost of damage $1,500.00",Report Taken,t,Nov-24
Unknown Injury Collision,Mobil Station,11/11/24,8:29 AM,Request for medics for subject involved in a traffic collision,Disposition Referred to Other Agency,f,Nov-24
Battery on Peace Officer - Simple Assault,Trolley - Central Campus Station,11/11/24,9:05 AM,Trolley passenger splashed urine on Metropolitan Transit System Security Officer,"Closed By Citation, Adult",f,Nov-24
Medical Aid,Argo Hall,11/11/24,10:16 AM,Request for medics for subject with abdominal pain,Referred to Other Agency,f,Nov-24
Noise Disturbance,Artesa,11/11/24,1:25 PM,Loud speakers and music in community barbeque area for 20 minutes,Information Only,f,Nov-24
Preserve the Peace,South Mesa Apartments,11/11/24,1:41 PM,Request for officer presence while caller retrieves property,Service Provided,f,Nov-24
Suspicious Person,Torrey Pines Center South,11/11/24,3:20 PM,Subject in the restroom with unknown tool,Will Cooperate,t,Nov-24
Citizen Contact,UCSD Police Department,11/11/24,4:55 PM,Request for impound vehicle release,Service Provided,f,Nov-24
Injury,Black Gold Road,11/11/24,5:31 PM,Elderly male slipped and fell,Referred to Other Agency,t,Nov-24
Report of Grand Theft,Computer Science and Engineering Building,11/11/24,3:40 PM,"Caller requesting to make phone report for stolen laptop and iPad, loss $1,500.00",Service Provided,f,Nov-24
Missing Person,UCSD Residential Area,11/11/24,6:00 PM,Juvenile with suicidal ideations left house on foot,Report Taken,t,Nov-24
Citizen Assist,TDLLN - Podemos,11/11/24,9:31 PM,Reporting party requesting officer because his roommate locked him out and has not been friendly,Service Provided,t,Nov-24
Noise Disturbance,Gilman Parking Structure,11/11/24,9:33 PM,Group yelling and dancing,Will Cooperate,f,Nov-24
